,ID,Department,GEO,Role,Will_Relocate,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left_Company,promotion_last_5years,sales,salary,Gender,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,gender_binary,dept_no,position_no
0,1,Operations,US,VP,0,0.4,0.36,3,168,3,1,0,0,sales,low,M,5,1,1,2,1,1,3,6
1,2,Sales,UK,Senior Director,0,0.4,0.36,5,159,2,0,0,0,accounting,low,F,58,2,1,2,1,0,4,4
2,3,Finance,France,Senior Director,0,0.4,0.36,2,282,3,0,0,0,product_mng,medium,F,42,1,1,2,2,0,0,4
3,4,Human Resources,China,Senior Director,0,0.4,0.36,4,278,4,1,0,0,product_mng,high,M,37,2,1,2,1,1,1,4
4,5,IT,Korea,Director,0,0.4,0.36,6,256,5,0,0,0,sales,low,F,6,1,1,2,1,0,2,0
5,6,Warehouse,Colombia,Director,0,0.4,0.36,4,97,4,0,0,0,sales,medium,F,17,2,1,1,1,0,5,0
6,7,Operations,Australia,Director,1,0.4,0.36,2,136,3,0,0,0,technical,high,F,35,1,1,2,1,0,3,0
7,8,Sales,Turkey,Director,1,0.4,0.36,4,128,4,0,0,0,technical,medium,F,7,2,2,2,1,0,4,0
8,9,Finance,Japan,Director,0,0.4,0.36,3,114,3,0,0,0,technical,high,M,3,2,1,2,2,1,0,0
9,10,Human Resources,UK,Director,1,0.4,0.36,2,137,4,1,0,0,marketing,medium,F,4,2,1,2,1,0,1,0
10,11,IT,China,Senior Manager,0,0.4,0.36,4,242,3,0,0,0,sales,low,M,31,1,1,2,1,1,2,5
11,12,Warehouse,Korea,Senior Manager,1,0.4,0.36,4,253,2,1,0,0,RandD,low,F,3,2,2,2,2,0,5,5
12,13,Operations,UK,Senior Manager,0,0.4,0.36,5,269,6,1,0,0,marketing,medium,M,34,1,2,2,2,1,3,5
13,14,Sales,Colombia,Senior Manager,0,0.4,0.36,3,256,6,0,0,0,support,medium,F,44,2,2,2,1,0,4,5
14,15,Finance,Korea,Senior Manager,0,0.4,0.36,3,280,4,0,0,0,support,low,M,65,1,1,2,1,1,0,5
15,16,Human Resources,France,Senior Manager,0,0.4,0.36,2,132,5,0,0,0,support,medium,F,13,1,1,1,1,0,1,5
16,17,IT,US,Senior Manager,1,0.4,0.36,3,167,5,0,0,0,sales,low,F,33,2,2,2,1,0,2,5
17,18,Warehouse,China,Senior Manager,0,0.4,0.36,6,191,2,0,0,0,product_mng,medium,F,5,2,2,1,1,0,5,5
18,19,Operations,US,Senior Manager,1,0.4,0.36,2,192,3,0,0,0,sales,low,M,54,2,1,2,2,1,3,5
19,20,Sales,Australia,Senior Manager,0,0.4,0.36,3,167,5,0,0,0,sales,low,F,40,2,1,2,2,0,4,5
20,21,Finance,Australia,Senior Manager,1,0.4,0.36,6,191,2,0,0,0,product_mng,medium,M,27,1,1,1,1,1,0,5
21,22,Human Resources,Korea,Senior Manager,1,0.4,0.36,2,192,3,0,0,0,sales,low,M,51,2,2,2,2,1,1,5
22,23,IT,China,Manager,1,0.4,0.37,2,176,2,0,0,0,sales,low,M,36,2,2,1,2,1,2,3
23,24,Warehouse,Korea,Manager,0,0.4,0.37,6,278,3,0,0,0,technical,low,F,17,1,1,2,2,0,5,3
24,25,Operations,Australia,Manager,1,0.4,0.37,2,159,6,0,0,0,RandD,low,F,17,1,2,2,1,0,3,3
25,26,Sales,France,Manager,1,0.4,0.37,3,181,2,0,0,0,IT,low,M,29,1,2,1,1,1,4,3
26,27,Finance,France,Manager,1,0.4,0.37,5,186,2,0,0,0,technical,medium,M,48,2,1,2,2,1,0,3
27,28,Human Resources,Japan,Manager,1,0.4,0.37,6,226,2,0,0,0,technical,low,M,11,2,2,2,2,1,1,3
28,29,IT,Australia,Manager,1,0.4,0.37,5,155,3,0,0,0,sales,low,M,20,1,2,2,2,1,2,3
29,30,Warehouse,US,Manager,0,0.4,0.37,4,129,4,0,0,0,product_mng,medium,M,14,1,1,2,1,1,5,3
30,31,Operations,UK,Manager,1,0.4,0.37,5,128,3,1,0,0,product_mng,medium,F,34,1,2,2,1,0,3,3
31,32,Sales,Colombia,Manager,0,0.4,0.37,2,171,4,0,0,0,support,low,M,33,1,1,2,1,1,4,3
32,33,Finance,Japan,Manager,0,0.4,0.37,6,200,3,0,0,0,product_mng,low,F,25,1,1,1,1,0,0,3
33,34,Human Resources,Australia,Manager,0,0.4,0.37,3,247,4,0,0,0,hr,medium,M,44,2,2,1,1,1,1,3
34,35,IT,Colombia,Manager,1,0.4,0.37,6,266,3,0,0,1,hr,medium,M,55,5,5,2,2,1,2,3
35,36,Warehouse,Turkey,Manager,1,0.4,0.37,3,256,3,0,0,0,product_mng,medium,F,62,2,2,2,2,0,5,3
36,37,Operations,France,Manager,0,0.4,0.37,2,232,3,1,0,0,hr,low,M,48,1,2,2,2,1,3,3
37,38,Sales,US,Manager,1,0.4,0.37,3,168,3,0,0,0,hr,low,F,9,1,1,1,1,0,4,3
38,39,Finance,Japan,Manager,1,0.4,0.37,2,284,3,0,0,0,technical,high,M,62,1,1,2,2,1,0,3
39,40,Human Resources,China,Manager,0,0.4,0.37,3,127,4,0,0,0,sales,medium,M,34,2,1,1,2,1,1,3
40,41,IT,US,Manager,0,0.4,0.37,4,216,4,0,0,0,technical,low,F,46,2,2,1,1,0,2,3
41,42,Warehouse,UK,Manager,0,0.4,0.37,6,233,5,0,0,0,RandD,medium,M,55,2,1,1,1,1,5,3
42,43,Operations,Korea,Manager,0,0.4,0.37,4,285,3,0,0,0,management,low,M,10,1,2,2,1,1,3,3
43,44,Sales,Turkey,Manager,1,0.4,0.37,3,167,3,0,0,0,accounting,medium,F,6,1,2,1,2,0,4,3
44,45,Finance,France,Level 2-4,0,0.4,0.37,3,111,2,0,0,0,sales,high,F,52,2,2,2,2,0,0,2
45,46,Human Resources,Colombia,Level 2-4,0,0.4,0.37,3,137,4,0,0,0,sales,low,M,38,1,2,2,2,1,1,2
46,47,IT,US,Level 2-4,1,0.4,0.37,4,153,2,0,0,0,sales,medium,M,64,1,1,2,1,1,2,2
47,48,Warehouse,Colombia,Level 2-4,1,0.4,0.37,5,101,4,1,0,0,support,low,F,8,1,2,1,2,0,5,2
48,49,Operations,Korea,Level 2-4,0,0.4,0.37,3,108,4,0,0,0,technical,low,M,34,2,2,2,2,1,3,2
49,50,Sales,US,Level 2-4,1,0.4,0.37,3,123,2,0,0,0,sales,medium,F,55,2,1,1,2,0,4,2
50,51,Finance,Turkey,Level 2-4,1,0.4,0.37,2,167,3,0,0,0,sales,low,M,23,2,1,1,2,1,0,2
51,52,Human Resources,US,Level 2-4,1,0.4,0.37,2,280,3,0,0,0,accounting,medium,M,62,2,2,1,1,1,1,2
52,53,IT,US,Level 2-4,1,0.4,0.37,4,165,6,0,0,0,marketing,medium,M,44,2,2,2,2,1,2,2
53,54,Warehouse,Turkey,Level 2-4,0,0.4,0.37,3,127,3,0,0,0,sales,low,F,51,2,1,1,2,0,5,2
54,55,Operations,Korea,Level 2-4,0,0.4,0.37,2,104,3,1,0,0,support,medium,F,52,2,2,1,1,0,3,2
55,56,Sales,US,Level 2-4,1,0.4,0.37,3,125,2,0,0,0,RandD,medium,M,46,2,1,2,1,1,4,2
56,57,Finance,Korea,Level 2-4,0,0.4,0.37,3,169,3,1,0,0,support,medium,M,14,1,1,2,1,1,0,2
57,58,Human Resources,Australia,Level 2-4,0,0.4,0.37,6,219,6,0,0,0,product_mng,low,M,16,1,1,1,1,1,1,2
58,59,IT,US,Level 2-4,1,0.4,0.37,5,173,2,0,0,0,accounting,low,F,8,2,2,2,1,0,2,2
59,60,Warehouse,UK,Level 2-4,1,0.4,0.37,5,156,4,0,0,0,sales,medium,M,41,1,2,1,1,1,5,2
60,61,Operations,Turkey,Level 2-4,0,0.4,0.37,5,246,3,0,0,0,support,medium,M,3,1,2,1,2,1,3,2
61,62,Sales,US,Level 2-4,0,0.4,0.37,2,118,2,0,0,0,product_mng,high,F,55,2,1,1,1,0,4,2
62,63,Finance,UK,Level 2-4,0,0.4,0.37,3,164,4,1,0,0,accounting,low,M,57,2,1,2,1,1,0,2
63,64,Human Resources,Korea,Level 2-4,1,0.4,0.37,2,219,2,0,0,0,technical,low,F,14,1,1,2,1,0,1,2
64,65,IT,US,Level 2-4,1,0.4,0.37,6,187,10,1,0,0,sales,high,F,36,2,2,2,2,0,2,2
65,66,Warehouse,France,Level 2-4,0,0.4,0.37,3,180,3,0,0,0,support,medium,F,63,1,1,2,2,0,5,2
66,67,Operations,Colombia,Level 2-4,0,0.4,0.37,3,170,6,0,0,0,IT,low,F,32,2,2,2,2,0,3,2
67,68,Sales,Colombia,Level 2-4,1,0.4,0.37,2,179,5,0,0,1,support,low,F,44,5,1,1,2,0,4,2
68,69,Finance,China,Level 2-4,0,0.4,0.37,5,156,4,0,0,0,sales,medium,M,57,1,1,1,1,1,0,2
69,70,Human Resources,China,Level 2-4,1,0.4,0.37,5,246,3,0,0,0,support,medium,F,21,2,1,2,1,0,1,2
70,71,IT,France,Level 2-4,0,0.4,0.37,2,118,2,0,0,0,product_mng,high,M,28,2,1,2,2,1,2,2
71,72,Warehouse,France,Level 2-4,1,0.4,0.37,3,164,4,1,0,0,accounting,low,M,28,2,1,1,1,1,5,2
72,73,Operations,US,Level 2-4,0,0.4,0.37,2,219,2,0,0,0,technical,low,F,39,2,2,1,2,0,3,2
73,74,Sales,UK,Level 2-4,1,0.4,0.37,6,187,10,1,0,0,sales,high,M,43,2,2,1,2,1,4,2
74,75,Finance,China,Level 2-4,1,0.4,0.37,3,180,3,0,0,0,support,medium,M,31,1,1,2,2,1,0,2
75,76,Human Resources,Australia,Level 2-4,1,0.4,0.37,3,170,6,0,0,0,IT,low,F,53,2,2,2,1,0,1,2
76,77,IT,Korea,Level 2-4,0,0.4,0.37,2,179,5,0,0,1,support,low,F,61,5,1,1,2,0,2,2
77,78,Warehouse,China,Level 2-4,1,0.4,0.38,3,257,3,0,0,0,technical,medium,F,12,1,1,2,2,0,5,2
78,79,Operations,US,Level 2-4,0,0.4,0.38,6,169,3,0,0,0,accounting,low,F,53,1,1,2,1,0,3,2
79,80,Sales,US,Level 2-4,1,0.4,0.38,4,183,5,0,0,0,support,medium,M,32,2,1,1,1,1,4,2
80,81,Finance,Korea,Level 2-4,0,0.4,0.38,2,126,3,0,0,0,sales,medium,F,17,2,2,2,1,0,0,2
81,82,Human Resources,China,Level 2-4,0,0.4,0.38,3,280,2,0,0,0,marketing,low,F,7,2,1,2,2,0,1,2
82,83,IT,China,Level 2-4,0,0.4,0.38,6,215,3,0,0,0,IT,medium,F,6,2,2,2,1,0,2,2
83,84,Warehouse,China,Level 2-4,1,0.4,0.38,5,139,4,0,0,0,support,medium,M,46,1,2,2,1,1,5,2
84,85,Operations,China,Level 2-4,1,0.4,0.38,3,134,3,0,0,0,product_mng,medium,F,31,2,2,1,2,0,3,2
85,86,Sales,China,Level 2-4,1,0.4,0.38,6,165,3,0,0,0,accounting,low,F,61,1,2,1,2,0,4,2
86,87,Finance,Japan,Level 2-4,0,0.4,0.38,2,106,3,1,0,0,support,medium,F,37,1,2,2,2,0,0,2
87,88,Human Resources,France,Level 2-4,1,0.4,0.38,5,175,4,0,0,0,technical,high,M,8,2,1,1,1,1,1,2
88,89,IT,Colombia,Level 2-4,0,0.4,0.38,5,171,6,1,0,1,accounting,high,F,58,4,1,5,5,0,2,2
89,90,Warehouse,Korea,Level 2-4,1,0.4,0.38,3,197,2,0,0,0,sales,medium,F,14,2,1,2,1,0,5,2
90,91,Operations,US,Level 2-4,1,0.4,0.38,4,135,2,0,0,0,product_mng,high,M,47,2,2,1,2,1,3,2
91,92,Sales,Colombia,Level 2-4,0,0.4,0.38,3,275,5,0,0,0,support,low,F,14,2,2,2,2,0,4,2
